City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,vangaindrano,-23.35,47.6,18.44,68,38,2.21,MG,1690389019
188,ipora,-16.4419,-51.1178,32.4,22,0,2.44,BR,1690389143
189,petawawa,45.9001,-77.3328,26.77,60,20,4.12,CA,1690389143
190,kachug,53.9606,105.8817,16.02,85,85,1.66,RU,1690389143
191,hami,42.8,93.45,31.8,10,0,4.57,CN,1690389143
192,amarpur,25.0333,86.9,30.81,67,99,4.64,IN,1690389143
193,mbekenyera,-10.0,38.9833,21.71,47,18,2.28,TZ,1690389144
194,diego de almagro,-26.3667,-70.05,23.15,22,69,2.3,CL,1690389144
195,kirensk,57.7853,108.1119,16.61,94,88,0.1,RU,1690389144
196,nemuro,43.3236,145.575,16.26,99,72,0.32,JP,1690389144
197,kalemie,-5.9475,29.1947,22.87,53,38,0.99,CD,1690389144
198,kumo,10.0447,11.2122,31.27,42,71,3.2,NG,1690389145
199,chulym,55.0997,80.9572,17.84,69,52,1.12,RU,1690389145
200,lakatoro,-16.0999,167.4164,22.65,81,100,7.14,VU,1690389145
201,sinop,41.7711,34.8709,23.34,50,0,3.29,TR,1690389083
202,korba,22.35,82.6833,28.91,74,85,3.85,IN,1690389145
203,happy valley-goose bay,53.3168,-60.3315,25.17,50,40,4.63,CA,1690388879
204,sechura,-5.5569,-80.8222,25.18,60,90,3.98,PE,1690388990
205,mar del plata,-38.0023,-57.5575,13.3,75,40,5.81,AR,1690389146
206,codo,-4.4553,-43.8856,36.09,26,3,2.41,BR,1690388925
207,mormugao,15.4,73.8,25.75,84,100,9.29,IN,1690389146
208,dili,-8.5586,125.5736,23.2,74,48,2.03,TL,1690389146
209,sarangani,5.4033,125.4636,27.54,80,96,3.39,PH,1690389146
210,massenya,11.4039,16.1705,32.11,47,81,3.53,TD,1690389147
211,sola,-13.8833,167.55,24.85,83,100,10.92,VU,1690389147
212,hastings,50.8552,0.5729,19.38,23,99,6.18,GB,1690388773
213,degache,33.9761,8.2081,40.18,24,1,9.26,TN,1690389147
214,vakarai,55.6035,23.8213,21.29,53,94,3.37,LT,1690389147
215,tazovsky,67.4667,78.7,17.64,73,53,4.05,RU,1690389147
216,balkh,36.75,67.0,36.11,8,0,4.31,AF,1690389147
217,ponta delgada,37.7333,-25.6667,24.4,69,20,3.6,PT,1690389148
218,barra do corda,-5.5,-45.25,37.22,21,15,2.68,BR,1690389148
219,sydney mines,46.2367,-60.2177,29.19,63,75,4.12,CA,1690389148
220,gadzhiyevo,69.2551,33.3362,11.09,90,98,2.17,RU,1690388982
221,yenipazar,37.8242,28.1972,36.8,19,0,2.44,TR,1690389148
222,afif,23.9065,42.9172,36.24,10,98,5.47,SA,1690388991
223,amuntai,-2.4177,115.2494,21.69,88,50,0.91,ID,1690389148
224,bafra,41.5678,35.9069,23.7,82,0,5.32,TR,1690389148
225,salekhard,66.53,66.6019,16.84,97,100,3.37,RU,1690388940
226,krasnoturansk,54.3186,91.5639,15.45,82,8,1.19,RU,1690389149
227,labytnangi,66.6572,66.4183,16.67,92,100,4.2,RU,1690389110
228,ciudad madero,22.2667,-97.8333,30.03,79,75,2.37,MX,1690389149
229,camana,-16.6228,-72.7111,19.21,75,21,4.0,PE,1690389149
230,abalak,58.1286,68.5944,16.29,79,49,2.38,RU,1690389149
231,lesnoy,57.6198,63.0784,16.62,86,50,2.72,RU,1690389150
232,watertown,42.3709,-71.1828,30.8,58,0,3.09,US,1690389150
233,sao joao da barra,-21.6403,-41.0511,25.05,75,86,8.08,BR,1690389150
234,zhezqazghan,47.7833,67.7667,29.49,31,98,5.77,KZ,1690389150
235,ban selaphum,16.0167,103.95,26.69,81,72,3.08,TH,1690389150
236,puerto santa,-8.9906,-78.6456,22.52,73,89,3.9,PE,1690389150
237,ilomantsi,62.6716,30.9328,18.16,76,93,1.49,FI,1690388923
238,puerto lempira,15.2667,-83.7667,30.14,66,100,4.29,HN,1690389151
239,huanuco,-9.9329,-76.2415,24.89,34,35,3.23,PE,1690388898
240,zaozersk,69.4005,32.4476,12.44,84,93,2.84,RU,1690388922
241,batang,-6.4846,110.7083,24.4,71,30,3.53,ID,1690389151
242,dzuunharaa,48.8523,106.4579,15.02,79,25,1.53,MN,1690389151
243,kavaratti,10.5669,72.642,28.28,77,100,6.53,IN,1690389151
244,haenam,34.5711,126.5989,24.2,96,43,2.45,KR,1690389151
245,priob'ye,62.5206,65.5964,16.39,92,100,2.59,RU,1690388947
246,raduzhny,62.0961,77.475,18.1,80,64,2.46,RU,1690388932
247,robore,-18.3333,-59.75,28.05,57,75,0.0,BO,1690389152
248,agacoren,38.8748,33.9167,24.31,24,0,0.09,TR,1690389152
249,aksu,41.1231,80.2644,30.23,25,0,2.12,CN,1690389152
250,bel ombre,-4.6167,55.4167,25.91,83,40,6.17,SC,1690388906
251,nadi,-17.8,177.4167,20.0,94,75,3.09,FJ,1690388917
252,bandarbeyla,9.4942,50.8122,23.94,83,10,14.5,SO,1690389152
253,dabola,10.75,-11.1167,29.06,74,81,0.44,GN,1690389152
254,acarau,-2.8856,-40.12,31.44,51,10,8.83,BR,1690389153
